,Home Team Initials,Away Team Initials,weight,Home Goal Total
369,ITA,UKR,1,3
370,ITA,URU,2,2
371,ITA,USA,3,9
372,JAM,CRO,1,1
373,JPN,BEL,1,2
374,JPN,BRA,1,1
375,JPN,CMR,1,1
376,JPN,COL,1,1
377,JPN,CRO,2,0
378,JPN,GRE,1,0
379,JPN,JAM,1,1
380,JPN,RUS,1,1
381,JPN,TUR,1,0
382,KOR,ALG,1,2
383,KOR,BEL,1,0
384,KOR,BOL,1,0
385,KOR,BUL,1,1
386,KOR,ESP,1,1
387,KOR,GRE,1,2
388,KOR,ITA,2,4
389,KOR,MEX,1,1
390,KOR,POL,1,2
391,KOR,TOG,1,2
392,KOR,TUR,1,2
393,KOR,URU,1,0
394,KOR,USA,1,1
395,KSA,DEN,1,0
396,KSA,ESP,1,0
397,KSA,IRL,1,0
398,KSA,MAR,1,2
399,KSA,SWE,1,1
400,KSA,UKR,1,0
401,MAR,FRG,1,0
402,MAR,NED,1,1
403,MAR,NOR,1,2
404,MAR,POL,1,0
405,MEX,ANG,1,0
406,MEX,BEL,1,1
407,MEX,BUL,2,3
408,MEX,CMR,1,1
409,MEX,ECU,1,2
410,MEX,IRL,1,2
411,MEX,IRN,1,3
412,MEX,ITA,1,1
413,MEX,PAR,1,1
414,MEX,SLV,1,4
415,MEX,TCH,1,3
416,MEX,URS,1,0
417,MEX,URU,1,0
418,MEX,USA,1,0
419,MEX,WAL,1,1
420,NED,ARG,5,6
421,NED,AUT,1,5
422,NED,BEL,1,0
423,NED,BRA,3,6
424,NED,CHI,1,2
425,NED,CIV,1,2
426,NED,CRC,2,0
427,NED,CRO,1,1
428,NED,DEN,1,2
429,NED,EGY,1,1
430,NED,ESP,1,0
431,NED,FRG,1,1
432,NED,IRL,1,2
433,NED,IRN,1,3
434,NED,ITA,1,2
435,NED,JPN,1,1
436,NED,KOR,1,5
437,NED,KSA,1,2
438,NED,MEX,3,6
439,NED,PER,1,0
440,NED,SVK,1,2
441,NED,SWE,1,0
442,NED,YUG,1,2
443,NGA,ARG,1,2
